agreement_type,agreement_type_issue,claimant_description,defendant_descripion,cicumstance_invoked_code,circumstance_invoked,first_resolution_code,first_resolution,second_resolution_code,second_resolution
01 Sales contract,Good is not as expected or what you paid for,"Consumer goods are presumed not to be in conformity with the contract if they:
(a) do not comply with the description given by the seller and do not possess the qualities of the goods which the seller has held out to the consumer as a sample or model

(b) are not fit for any particular purpose for which the consumer requires them and which he made known to the seller at the time of conclusion of the contract and which the seller has accepted

(c) are not fit for the purposes for which goods of the same type are normally used

(d) do not show the quality and performance which are normal in goods of the same type and which the consumer can reasonably expect, given the nature of the goods and taking into account any public statements on the specific characteristics of the goods made about them by the seller, the producer or his representative, particularly in advertising or on labelling.",,6_02_35_service_not_conform_order,Good not in conformity with the order,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want to cancel purchase,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want to cancel purchase
01 Sales contract,"Total price not given before purchase, price discrimnation, surcharge fees for credit cards","	
You must always be clearly informed of the total price for your purchase, including delivery and other related costs.

Different prices for delivering items to foreign countries can be justified.

You must give your explicit consent to any additional costs, for example if the trader wishes to offer you express delivery, or gift wrapping.

Using a pre-ticked box on the trader's website does not constitute such consent and you would be entitled to reimbursement of any payment which has been collected in this way.",,6_02_36_other_pricing_payment_surcharge_payment_card,"Surcharge fees for the use of cards, other means of payment",7_1_issue_with_pricing_payments,I want to get a refund,,
01 Sales contract,"Total price not given before purchase, price discrimnation, surcharge fees for credit cards","	
You must always be clearly informed of the total price for your purchase, including delivery and other related costs.

Different prices for delivering items to foreign countries can be justified.

You must give your explicit consent to any additional costs, for example if the trader wishes to offer you express delivery, or gift wrapping.

Using a pre-ticked box on the trader's website does not constitute such consent and you would be entitled to reimbursement of any payment which has been collected in this way.",,6_02_36_other_specify_pricing_payment_additional_services,Charges for additional services,7_1_issue_with_pricing_payments,I want to get a refund,,
01 Sales contract,"Total price not given before purchase, price discrimnation, surcharge fees for credit cards","	
You must always be clearly informed of the total price for your purchase, including delivery and other related costs.

Different prices for delivering items to foreign countries can be justified.

You must give your explicit consent to any additional costs, for example if the trader wishes to offer you express delivery, or gift wrapping.

Using a pre-ticked box on the trader's website does not constitute such consent and you would be entitled to reimbursement of any payment which has been collected in this way.",,6_02_36_other_pricing_payment_discrimination,Price discrimination,7_1_issue_with_pricing_payments,I want to get a refund,,
01 Sales contract,"Total price not given before purchase, price discrimnation, surcharge fees for credit cards","	
You must always be clearly informed of the total price for your purchase, including delivery and other related costs.

Different prices for delivering items to foreign countries can be justified.

You must give your explicit consent to any additional costs, for example if the trader wishes to offer you express delivery, or gift wrapping.

Using a pre-ticked box on the trader's website does not constitute such consent and you would be entitled to reimbursement of any payment which has been collected in this way.",,6_02_36_other_pricing_payments_service_price_lacking,Total price not given before purchase,7_1_issue_with_pricing_payments,I want to get a refund,,
01 Sales contract,Good has not been delivered,"Missing delivery:

If you do not receive the goods within 30 days, or within the mutually agreed period, you must remind the trader giving an additional, reasonable time limit to deliver. For example, if the trader has informed you that delivery is delayed by one week because of problems with his suppliers you should consider giving him an extra week.

If the trader still does not deliver within the extended deadline you are entitled to terminate the contract and be reimbursed as soon as possible. You do not have to give the trader an extension if he refuses to deliver or when an agreed delivery period is essential, for example, if the goods in question are needed for a specific event, for example a wedding dress.",,6_2_33_non_delivery_of_good,Non delivery of good,7_2_issue_with_delivery_extension,I want to give seller 14 extra days to deliver,7_1_issue_with_delivery_cancellation,"Since this purchase has no more value to me because of delay, I want to cancel purchase."
01 Sales contract,Good has not been delivered,"Missing delivery:

If you do not receive the goods within 30 days, or within the mutually agreed period, you must remind the trader giving an additional, reasonable time limit to deliver. For example, if the trader has informed you that delivery is delayed by one week because of problems with his suppliers you should consider giving him an extra week.

If the trader still does not deliver within the extended deadline you are entitled to terminate the contract and be reimbursed as soon as possible. You do not have to give the trader an extension if he refuses to deliver or when an agreed delivery period is essential, for example, if the goods in question are needed for a specific event, for example a wedding dress.",,6_2_33_non_delivery_of_good,Non delivery of good,7_1_issue_with_delivery_cancellation,"Since this purchase has no more value to me because of delay, I want to cancel purchase.",,
01 Sales contract,Seller of good has unfair contract terms and claims these terms for resolution of issue,"Legal explanation : General rule
The standard contract terms used by traders, whether they are called ""terms and conditions"" or are part of a detailed contract that you may actually have to sign, have to be fair.

Under EU law, in order to be fair, standard contract terms may not create an imbalance in the rights and obligations of consumers on the one hand and sellers and suppliers on the other.

Legal explanation : Potentially unfair terms
Besides the general requirement of ""fairness"" and ""balance"", the EU rules contain a list of specific terms that may be judged unfair. If specific terms in a contract are unfair, they are not binding on consumers and the trader may not rely on them.

Terms which inappropriately exclude/limit consumers rights to compensation if the trader doesnt keep to his side of the contract.
Terms which bind the consumer but allow traders to get out of providing a service just because it doesnt suit them.
Terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels.
Terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right.
Terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified.
Terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early.
Terms which bind consumers even though they could not easily have been aware of them before signing the contract.
Terms which allow the trader to alter a contract unilaterally, unless the contract states a valid reason for doing so.
Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed.
Terms where the trader alone has the right to interpret any clause of the contract and to decide whether the product or service complies with the contract.
Terms under which a trader tries to dodge commitments made by his staff or where such commitments are subject to other conditions.
Terms obliging consumers to fulfil all their obligations when the trader doesnt abide by his.
Terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract.",,6_02_36_unfair_terms_exclusion_consumers_right_to_compensation_if_trader_doesnt_keep_his_side_of_contract,Terms which inappropriately exclude/limit consumers´ rights to compensation if the trader doesn´t keep to his side of the contract,7_2_7_1_issue_with_unfair_contract_terms_term_cancellation,I want to cancel the following term(s),7_2_7_1_issue_with_unfair_contract_terms_term_cancellation,I want to cancel the following term(s)
01 Sales contract,Seller of good has unfair contract terms and claims these terms for resolution of issue,"Legal explanation : General rule
The standard contract terms used by traders, whether they are called ""terms and conditions"" or are part of a detailed contract that you may actually have to sign, have to be fair.

Under EU law, in order to be fair, standard contract terms may not create an imbalance in the rights and obligations of consumers on the one hand and sellers and suppliers on the other.

Legal explanation : Potentially unfair terms
Besides the general requirement of ""fairness"" and ""balance"", the EU rules contain a list of specific terms that may be judged unfair. If specific terms in a contract are unfair, they are not binding on consumers and the trader may not rely on them.

Terms which inappropriately exclude/limit consumers rights to compensation if the trader doesnt keep to his side of the contract.
Terms which bind the consumer but allow traders to get out of providing a service just because it doesnt suit them.
Terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels.
Terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right.
Terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified.
Terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early.
Terms which bind consumers even though they could not easily have been aware of them before signing the contract.
Terms which allow the trader to alter a contract unilaterally, unless the contract states a valid reason for doing so.
Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed.
Terms where the trader alone has the right to interpret any clause of the contract and to decide whether the product or service complies with the contract.
Terms under which a trader tries to dodge commitments made by his staff or where such commitments are subject to other conditions.
Terms obliging consumers to fulfil all their obligations when the trader doesnt abide by his.
Terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract.",,6_02_36_unfair_terms_which_bind_the_consumer_but_allow_traders_to_get_out_of_providing_a_service_just_because_it_doesnt_suit_them,Terms which bind the consumer but allow traders to get out of providing a service just because it doesn´t suit them,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
01 Sales contract,Seller of good has unfair contract terms and claims these terms for resolution of issue,"Legal explanation : General rule
The standard contract terms used by traders, whether they are called ""terms and conditions"" or are part of a detailed contract that you may actually have to sign, have to be fair.

Under EU law, in order to be fair, standard contract terms may not create an imbalance in the rights and obligations of consumers on the one hand and sellers and suppliers on the other.

Legal explanation : Potentially unfair terms
Besides the general requirement of ""fairness"" and ""balance"", the EU rules contain a list of specific terms that may be judged unfair. If specific terms in a contract are unfair, they are not binding on consumers and the trader may not rely on them.

Terms which inappropriately exclude/limit consumers rights to compensation if the trader doesnt keep to his side of the contract.
Terms which bind the consumer but allow traders to get out of providing a service just because it doesnt suit them.
Terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels.
Terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right.
Terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified.
Terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early.
Terms which bind consumers even though they could not easily have been aware of them before signing the contract.
Terms which allow the trader to alter a contract unilaterally, unless the contract states a valid reason for doing so.
Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed.
Terms where the trader alone has the right to interpret any clause of the contract and to decide whether the product or service complies with the contract.
Terms under which a trader tries to dodge commitments made by his staff or where such commitments are subject to other conditions.
Terms obliging consumers to fulfil all their obligations when the trader doesnt abide by his.
Terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract.",,6_02_36_unfair_terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels,Terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
01 Sales contract,Seller of good has unfair contract terms and claims these terms for resolution of issue,"Legal explanation : General rule
The standard contract terms used by traders, whether they are called ""terms and conditions"" or are part of a detailed contract that you may actually have to sign, have to be fair.

Under EU law, in order to be fair, standard contract terms may not create an imbalance in the rights and obligations of consumers on the one hand and sellers and suppliers on the other.

Legal explanation : Potentially unfair terms
Besides the general requirement of ""fairness"" and ""balance"", the EU rules contain a list of specific terms that may be judged unfair. If specific terms in a contract are unfair, they are not binding on consumers and the trader may not rely on them.

Terms which inappropriately exclude/limit consumers rights to compensation if the trader doesnt keep to his side of the contract.
Terms which bind the consumer but allow traders to get out of providing a service just because it doesnt suit them.
Terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels.
Terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right.
Terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified.
Terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early.
Terms which bind consumers even though they could not easily have been aware of them before signing the contract.
Terms which allow the trader to alter a contract unilaterally, unless the contract states a valid reason for doing so.
Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed.
Terms where the trader alone has the right to interpret any clause of the contract and to decide whether the product or service complies with the contract.
Terms under which a trader tries to dodge commitments made by his staff or where such commitments are subject to other conditions.
Terms obliging consumers to fulfil all their obligations when the trader doesnt abide by his.
Terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract.",,6_02_36_unfair_terms which require a consumer who doesn´t fulfil an obligation to pay an unreasonably high amount of compensation,Terms which require a consumer who doesn´t fulfil an obligation to pay an unreasonably high amount of compensation,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
01 Sales contract,Seller of good has unfair contract terms and claims these terms for resolution of issue,"Legal explanation : General rule
The standard contract terms used by traders, whether they are called ""terms and conditions"" or are part of a detailed contract that you may actually have to sign, have to be fair.

Under EU law, in order to be fair, standard contract terms may not create an imbalance in the rights and obligations of consumers on the one hand and sellers and suppliers on the other.

Legal explanation : Potentially unfair terms
Besides the general requirement of ""fairness"" and ""balance"", the EU rules contain a list of specific terms that may be judged unfair. If specific terms in a contract are unfair, they are not binding on consumers and the trader may not rely on them.

Terms which inappropriately exclude/limit consumers rights to compensation if the trader doesnt keep to his side of the contract.
Terms which bind the consumer but allow traders to get out of providing a service just because it doesnt suit them.
Terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels.
Terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right.
Terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified.
Terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early.
Terms which bind consumers even though they could not easily have been aware of them before signing the contract.
Terms which allow the trader to alter a contract unilaterally, unless the contract states a valid reason for doing so.
Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed.
Terms where the trader alone has the right to interpret any clause of the contract and to decide whether the product or service complies with the contract.
Terms under which a trader tries to dodge commitments made by his staff or where such commitments are subject to other conditions.
Terms obliging consumers to fulfil all their obligations when the trader doesnt abide by his.
Terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract.",,6_02_36_unfair_terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right,Terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
01 Sales contract,Seller of good has unfair contract terms and claims these terms for resolution of issue,"Legal explanation : General rule
The standard contract terms used by traders, whether they are called ""terms and conditions"" or are part of a detailed contract that you may actually have to sign, have to be fair.

Under EU law, in order to be fair, standard contract terms may not create an imbalance in the rights and obligations of consumers on the one hand and sellers and suppliers on the other.

Legal explanation : Potentially unfair terms
Besides the general requirement of ""fairness"" and ""balance"", the EU rules contain a list of specific terms that may be judged unfair. If specific terms in a contract are unfair, they are not binding on consumers and the trader may not rely on them.

Terms which inappropriately exclude/limit consumers rights to compensation if the trader doesnt keep to his side of the contract.
Terms which bind the consumer but allow traders to get out of providing a service just because it doesnt suit them.
Terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels.
Terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right.
Terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified.
Terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early.
Terms which bind consumers even though they could not easily have been aware of them before signing the contract.
Terms which allow the trader to alter a contract unilaterally, unless the contract states a valid reason for doing so.
Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed.
Terms where the trader alone has the right to interpret any clause of the contract and to decide whether the product or service complies with the contract.
Terms under which a trader tries to dodge commitments made by his staff or where such commitments are subject to other conditions.
Terms obliging consumers to fulfil all their obligations when the trader doesnt abide by his.
Terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract.",,"6_02_36_unfair_terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified","Terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified",7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
01 Sales contract,Seller of good has unfair contract terms and claims these terms for resolution of issue,"Legal explanation : General rule
The standard contract terms used by traders, whether they are called ""terms and conditions"" or are part of a detailed contract that you may actually have to sign, have to be fair.

Under EU law, in order to be fair, standard contract terms may not create an imbalance in the rights and obligations of consumers on the one hand and sellers and suppliers on the other.

Legal explanation : Potentially unfair terms
Besides the general requirement of ""fairness"" and ""balance"", the EU rules contain a list of specific terms that may be judged unfair. If specific terms in a contract are unfair, they are not binding on consumers and the trader may not rely on them.

Terms which inappropriately exclude/limit consumers rights to compensation if the trader doesnt keep to his side of the contract.
Terms which bind the consumer but allow traders to get out of providing a service just because it doesnt suit them.
Terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels.
Terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right.
Terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified.
Terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early.
Terms which bind consumers even though they could not easily have been aware of them before signing the contract.
Terms which allow the trader to alter a contract unilaterally, unless the contract states a valid reason for doing so.
Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed.
Terms where the trader alone has the right to interpret any clause of the contract and to decide whether the product or service complies with the contract.
Terms under which a trader tries to dodge commitments made by his staff or where such commitments are subject to other conditions.
Terms obliging consumers to fulfil all their obligations when the trader doesnt abide by his.
Terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract.",,6_02_36_unfair_terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early,Terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
